language,number of subwords,average paragraphs,entropy
sl,7960,17.83,0.38127099507009304
es,10996,62.78,0.4000897334299067
sw,3634,6.95,0.39610421606930446
sv,4583,6.56,0.3955584532808545
tl,5734,8.07,0.38048329988881846
tg,2100,3.23,0.3840737683514087
tr,5850,10.23,0.3852661683858955
uk,6971,18.0,0.379683524773852
uz,3862,6.28,0.388768425645761
vi,5028,16.26,0.35291811463353706
cy,4127,9.81,0.36448426368538417
fy,6778,18.69,0.36993589148990164
af,6798,12.34,0.39258619200599487
sq,5528,12.99,0.3720288545415576
ar,3766,11.27,0.36287182610632224
hy,3578,16.15,0.3340640686529296
az,5458,9.17,0.37759116815893723
ba,4929,19.91,0.3390759459556823
ba,5232,20.34,0.33030094678311384
eu,4574,20.49,0.3955712825831221
br,4635,11.39,0.3908610841713998
bg,6015,13.49,0.3888759789484063
ca,8900,16.91,0.3965212075711351
ce,2291,5.27,0.38541568065021053
hr,8058,14.13,0.39765072760964537
cs,8330,15.53,0.39341550856499846
da,7704,39.25,0.3866146528863526
nl,6402,10.46,0.39527188440091143
en,11056,16.12,0.39836264878491057
et,7627,26.96,0.39153821262244615
fi,7453,18.8,0.3888277773728885
fr,11995,29.61,0.39630587387423993
gl,9788,21.89,0.4014339188425894
de,11610,18.23,0.39393067985811436
el,4276,15.53,0.3282574104448682
he,4097,20.53,0.34604617927550413
hi,2061,20.49,0.34456030432502555
hu,7836,17.52,0.38409463819221945
is,4440,15.9,0.35844745044874854
io,2811,3.74,0.3491328897758325
id,7525,13.71,0.391636501812129
ga,3762,5.58,0.3635812873188472
it,12278,22.86,0.3980145824840696
kk,3175,7.01,0.3801108055270995
la,5956,10.67,0.4038818789082314
lv,4622,13.76,0.378773529082168
lt,5367,10.89,0.4018444080204192
lb,4551,9.23,0.3945615264795453
mk,6220,29.36,0.3629457411661411
ms,4947,10.56,0.3887260871267285
mr,1598,9.2,0.33064989035393766
ne,1654,8.44,0.3087820306607829
nb,9151,20.29,0.3955667889291603
nn,6053,6.89,0.39990740447283474
oc,4335,6.3,0.38342806215638703
fa,2852,7.83,0.3680178640864157
pl,9004,16.49,0.38954078284772814
pt,8219,10.42,0.40601546334946526
ro,6256,10.12,0.3901724901054359
ru,10281,42.53,0.3776800926759581
sr,5175,17.27,0.38242345029087593
sh,5599,9.59,0.39566730707409664
sk,5869,13.05,0.37949528116486253
sl,8599,19.1,0.36548027969964725
es,10762,14.18,0.40624746273953893
sw,3833,7.07,0.3899091727641505
sv,4171,5.44,0.39275168624534956
tl,5228,10.01,0.38456598723694946
tg,2130,4.72,0.37537572901149074
tr,4922,5.93,0.3971994394145626
uk,6669,13.5,0.38255164162419286
uz,5047,6.09,0.3699383448011609
vi,2793,5.31,0.3991369341929365
cy,3872,6.41,0.35061443220266386
fy,6498,11.19,0.3745484304421283
af,7109,18.3,0.39159569743494005
sq,6896,38.77,0.36132127827730887
ar,3960,11.71,0.3718759689226158
hy,2838,10.07,0.32994003983571224
az,4953,8.13,0.37956875590444605
ba,5323,20.26,0.334604471624772
eu,4797,9.35,0.40540282757046564
be,4590,10.25,0.3671344433398806
br,3869,6.65,0.38742956115398863
bg,5716,12.45,0.37146928399222146
ca,10529,27.14,0.39136975971905197
ce,1953,4.42,0.3606215824264345
hr,6968,11.67,0.40327396932199905
cs,8428,18.7,0.38436684354782036
da,8330,15.6,0.39542778993175887
nl,5029,6.1,0.40448239162184746
en,11251,17.2,0.39633716830328697
et,6111,11.15,0.3895396316626464
fi,8164,20.02,0.3763398865823514
fr,9896,21.28,0.39469064898217704
gl,10735,17.91,0.3998048578901949
de,12324,19.6,0.399145197562148
el,3977,14.29,0.3354773789719538
he,4376,45.36,0.3459000678678484
hi,1960,6.92,0.35101658306974953
hu,8309,16.59,0.38328931369247254
is,4166,7.14,0.36445660775427013
io,3396,4.62,0.37262501650386987
id,8728,41.69,0.3879025786675155
ga,3760,5.77,0.3607915472098234
it,11143,24.19,0.39621258017062133
kk,3456,7.61,0.36978853186775557
la,6029,8.42,0.4071801765689316
lv,5479,18.83,0.3675945577538723
lt,5432,8.81,0.4026409632919129
lb,6634,13.64,0.3795356503645735
mk,5161,11.59,0.3747908827089877
ms,5199,8.23,0.40013029321391624
mr,1418,8.38,0.3236839052820371
ne,1525,11.31,0.31941909133722796
nb,8968,17.03,0.40004493895945187
nn,5379,7.34,0.399543280691812
oc,4492,10.41,0.3831886658827125
fa,3396,9.19,0.3758053237724082
pl,10276,27.07,0.3878764044135472
pt,9675,14.2,0.4030231177368401
ro,6348,11.77,0.4018189751763352
ru,9172,21.21,0.3836309089122129
sr,5445,7.9,0.38045727457022355
sh,4457,15.67,0.36825960552062703
sl,7082,20.98,0.38894530081723494
es,9526,13.46,0.39980475907769314
sw,3937,7.21,0.3870903857710985
sv,3816,5.23,0.39960622360577136
tl,5656,9.72,0.37558376452771525
tg,1847,5.15,0.38221907000256106
tr,5579,7.99,0.397253303246257
uk,6054,17.5,0.3860060411131341
uz,4050,9.03,0.3845628476236013
vi,3968,6.95,0.36895167520870975
cy,3452,5.76,0.35518041407322404
fy,6388,10.99,0.3687740889245171
af,7685,23.32,0.40010940620736846
sq,5834,30.54,0.368997290656316
ar,4132,14.8,0.3525009749306095
hy,3069,12.09,0.316827002869322
az,6620,11.4,0.36538318565126804
ba,5800,21.94,0.3357337384345426
eu,5778,10.4,0.3914620905219072
be,3720,7.05,0.37620040054921666
bs,7420,13.89,0.39511213202758916
br,4637,9.65,0.38907421685284566
bg,6124,15.24,0.3852958789212226
ca,10332,34.84,0.3852887944463494
ce,2159,4.82,0.39230961004662124
hr,7578,13.76,0.3973907752550549
cs,9064,18.87,0.3803369772296244
da,7442,13.32,0.39791144714294496
nl,4950,21.59,0.3749262205632423
en,11344,41.79,0.39682412688078106
et,5342,8.9,0.3995082878143786
fi,8172,13.65,0.38268214985047344
fr,12275,26.85,0.38657912659261146
gl,9887,12.45,0.3960383062354625
de,11923,16.33,0.4025434736385842
el,5074,15.63,0.3288986275826887
he,4357,36.87,0.3512984156685099
hi,2376,32.75,0.3228313129698391
hu,7569,26.51,0.3849341675382351
is,4644,8.1,0.36724188716862494
io,3561,3.5,0.37296925534311975
id,8708,56.57,0.38148599003273637
ga,3331,5.71,0.36550337192077226
it,12284,35.89,0.39594358651089295
kk,3184,5.63,0.38612231613047215
la,5396,8.07,0.3964068069060124
lv,4945,9.51,0.37994673803353435
lt,5639,8.8,0.3986619684322831
lb,5774,9.72,0.38525385305987825
mk,5551,19.0,0.34947646494421997
mr,1558,8.06,0.33577755973986195
ne,1714,8.48,0.30496053095748943
nb,10122,32.19,0.3975171682714385
nn,6586,8.71,0.4006944231909711
oc,5187,8.91,0.37627617244364414
fa,2882,14.22,0.36869545941632587
pl,8225,12.59,0.3933796601223095
pt,8588,13.44,0.4063931205657463
ro,6782,14.3,0.39786978165734416
ru,8870,25.83,0.38686933028053017
sr,5458,9.92,0.38015829603916196
sh,5451,8.18,0.38587777468642986
sl,7299,42.59,0.3789260574985267
es,11008,20.53,0.39661338397481327
sw,2944,5.29,0.3977344421257143
sv,5048,6.28,0.38873101642561514
tl,6807,16.85,0.3783956132084506
tg,2207,3.8,0.3646704838302915
tr,5606,9.26,0.3850576349524552
uk,6920,13.02,0.3821250029581606
uz,3649,3.9,0.38972911232580193
vi,3412,5.11,0.40001190658893937
cy,4098,7.73,0.3569156668675309
fy,5611,9.48,0.3800379738034204
af,6475,16.71,0.39327580321316097
sq,5484,9.48,0.38046919726682094
ar,3460,6.83,0.3804356823945718
hy,3981,16.68,0.3123343756143606
az,5662,9.16,0.3709312491197873
ba,5335,18.01,0.32397278275743896
eu,4391,10.47,0.4089981364896755
be,4081,9.68,0.3565117274455772
br,4115,9.37,0.3900362338022321
bg,6014,12.95,0.38976171089464334
ca,8125,16.99,0.39446967628923335
ce,2113,4.64,0.38031665310444007
hr,6910,11.9,0.3999302056808966
cs,8307,17.76,0.3900852351305552
da,7565,12.15,0.3938091959803924
nl,7911,13.53,0.39759240556050285
en,9591,13.03,0.3974248580243531
et,5975,11.09,0.39487690415146454
fi,8271,15.87,0.3798004904438116
fr,10135,19.53,0.3985446039126396
gl,8610,13.57,0.4014501224467592
de,10702,14.97,0.4011890432169972
el,4562,24.39,0.33304465360363356
he,4527,21.37,0.35348939858758865
hi,2370,24.57,0.33970556309052885
hu,9767,21.3,0.38738392761370055
is,4359,8.37,0.37118459617612104
io,3174,3.77,0.37433585057618185
id,10205,33.9,0.38657356075676785
ga,3506,4.27,0.3649002294182894
it,9823,20.03,0.39920523488024906
la,7098,9.26,0.4020221101004836
lv,5085,11.57,0.3706484504647467
lt,5206,8.45,0.403142280239052
lb,5401,11.52,0.3915936263564529
mk,4891,14.32,0.37767847298670165
ms,5764,8.99,0.40503918065718864
mr,1446,8.92,0.32701042347244597
ne,1623,6.67,0.31105320637764106
nb,7708,18.63,0.40503779185103417
nn,6272,9.84,0.4029697168336146
oc,6303,13.82,0.38526152481866005
fa,2807,8.48,0.37089717236281095
pl,8354,16.91,0.3895150953122986
pt,9765,12.88,0.4015029234244769
ro,6505,9.71,0.39577854026183057
ru,9486,19.78,0.38052829267328775
sr,5926,9.7,0.3842393657593246
sh,5487,7.6,0.38139329806983596
sk,6895,12.88,0.38859993731197434
sl,7544,22.05,0.38404066696960326
es,9592,12.67,0.4043956437251261
sw,3386,5.28,0.3961200541280011
sv,5937,11.97,0.38893945409913794
tl,6551,25.64,0.3681960094060716
tg,2282,4.62,0.3619835547175575
tr,6338,10.49,0.39411905453444634
uk,6695,21.15,0.38871373758880406
uz,4762,7.48,0.3706348240361617
vi,3907,8.65,0.3797654549884363
cy,4121,6.6,0.3618034097212434
fy,6305,9.45,0.37258847649085275
af,7038,18.79,0.3882249711353187
sq,5121,7.68,0.37530522343695666
ar,3569,8.68,0.36930249502200774
hy,3725,12.71,0.32712493680204197
az,5621,11.38,0.380036198241971
ba,5274,18.61,0.3318974446124848
be,4600,9.18,0.3568283913651192
br,3962,11.05,0.3960293592099441
bg,5806,12.45,0.3898290964179585
ca,7407,9.03,0.3924291325584693
ce,2124,4.49,0.38731600732971844
hr,8008,14.8,0.38863062101617796
cs,8501,18.64,0.3837816943024443
da,7255,15.84,0.403829085875851
nl,8225,16.74,0.4016343501346644
et,6692,14.72,0.39891799663460764
gl,9073,12.6,0.4016991686554217
de,12760,32.0,0.3910831759004126
el,3668,12.84,0.33848842328931084
is,5924,44.68,0.37786845788630574
io,3861,5.34,0.3721748480130601
id,8051,14.94,0.3965683338186998
ga,2742,3.41,0.3872356884097551
it,9893,21.99,0.39801223178875594
kk,3214,9.97,0.3814742301952643
la,5588,9.63,0.40895326723151093
lv,4713,9.62,0.3767321951538444
lt,5225,8.68,0.4013420237376742
lb,5543,11.4,0.39765122829029126
mk,5681,13.93,0.36370725621354844
mr,1419,7.89,0.32373547779385486
ne,1629,7.09,0.33341570182861796
nb,8653,18.78,0.39851693400033955
nn,6393,16.83,0.3932963389830604
oc,5332,7.05,0.38975176537088546
fa,3100,10.97,0.37325369379124834
pl,7843,21.21,0.39059674775587727
pt,7871,15.26,0.40069373030570965
ro,6395,9.03,0.40142704988202427
sr,4571,7.91,0.3763554468417417
sh,4601,8.65,0.40253632746619183
sl,8522,16.66,0.3822811383135036
es,10294,13.09,0.40513177684760127
sw,3590,6.04,0.3961363745597284
sv,4328,5.19,0.388823137614898
af,6786,20.04,0.393963473644285
sq,6183,10.48,0.38484192610869744
ar,3581,10.3,0.36942153184473875
hy,3866,16.1,0.3081299862098552
af,6534,12.17,0.3877308613740852
sq,5761,12.63,0.3687453118640737
ar,3581,13.86,0.36994958549132884
hy,3222,11.0,0.322872842301609
az,4746,6.84,0.37742851890846857
ba,5159,19.69,0.33551045138130137
eu,4578,11.09,0.4111009365580201
be,4412,9.69,0.35902125615427133
bs,7532,14.78,0.38329728038331545
br,3967,17.3,0.3863005186944899
bg,6146,11.69,0.38662307425918746
ca,9040,52.66,0.39060589121403144
ce,2296,4.83,0.3802246962358125
hr,6623,16.49,0.3919882073118918
cs,8574,19.64,0.3851487883228432
da,5858,10.09,0.4011876003959587
nl,6282,7.72,0.40037437523758407
et,6886,16.46,0.3820954548796106
gl,7969,10.15,0.3979269814254757
de,12508,22.85,0.39449475907683423
el,6035,30.8,0.3277732852472703
is,4483,9.66,0.365121240435475
io,3100,4.31,0.36671804201284325
id,7753,12.33,0.39271647930139636
ga,3919,6.02,0.3523238047222078
it,11853,26.99,0.39739105080205944
la,4196,6.69,0.39903642190350236
lv,6051,32.67,0.36528859867569957
lt,6627,12.45,0.38029758264277996
lb,7455,16.25,0.38387147032143804
mk,5148,15.96,0.3525207461971245
ms,3992,6.51,0.4004674546393299
mr,1297,6.06,0.33236293082512824
ne,1507,6.9,0.331620835324378
nb,7736,14.73,0.40217323854282006
nn,5537,6.96,0.4035352109997452
oc,4849,6.6,0.3844171106112399
fa,3371,11.39,0.3451313618423917
pl,8828,20.17,0.3868659199176927
pt,9696,12.72,0.40401808963462027
ro,5425,8.46,0.3951140187244799
sr,6174,23.11,0.37173251011453706
sh,4473,6.48,0.38524007115037473
sk,6547,14.46,0.3914997403171912
sl,7463,15.38,0.38479486374091915
es,10195,17.08,0.4015625913905749
sv,5304,6.39,0.3864677278725926
tg,3252,6.55,0.35999017556737545
uk,7610,20.75,0.3777803463924975
uz,3954,6.47,0.3824018758915018
vi,3388,9.25,0.39284371327790724
cy,3908,7.6,0.36781635773976007
fy,6734,10.04,0.37071161148991966
af,7576,15.29,0.3847691833279131
sq,5255,13.4,0.3798802630743844
ar,3687,8.04,0.3662000197724067
hy,3043,9.47,0.3357295777999822
az,5911,23.83,0.38331884207765105
ba,4386,14.08,0.3403623623879152
eu,4777,9.76,0.4107790903737771
be,4380,8.23,0.37071388658398874
br,4782,13.15,0.3874007666415758
bg,6156,12.11,0.38690904432924994
ca,8055,10.01,0.39860772231793
ce,2480,6.43,0.3891259875111881
hr,6808,10.78,0.39507049102287395
cs,8551,35.97,0.3874364455797765
da,6943,10.3,0.3988978552413157
nl,7152,9.42,0.3986884549698507
et,5177,8.85,0.3986123227918099
gl,7812,9.3,0.40712633475744875
de,13342,23.63,0.3949429332498866
el,4007,12.12,0.33749277145002954
is,3909,6.95,0.37722026978432005
io,3036,5.15,0.34462933753942715
id,7073,13.25,0.40244457207915746
ga,5602,22.65,0.3847505440214421
it,11399,25.97,0.3985170895067586
la,4599,6.33,0.4030095059073598
lv,5608,12.36,0.3782082542498208
lt,5466,10.4,0.4037660248823641
lb,6784,13.9,0.39087507533706406
mk,4823,18.64,0.37372690007469195
mr,1494,9.74,0.3256803569277331
ne,1528,5.01,0.3185944838196033
nb,8181,19.81,0.3945037860057729
nn,5773,24.25,0.3964188887300112
oc,6148,8.5,0.3787412104968096
fa,2874,9.26,0.37399001951275845
pl,8192,15.07,0.39257702603417316
pt,10613,17.46,0.40130623396128046
ro,7779,27.16,0.3932650514794482
sr,6227,21.85,0.37127273513823117
sh,5516,11.6,0.3780096334908718
sk,6021,11.64,0.38967512410830096
sl,8561,21.81,0.380614944085863
es,10419,21.16,0.4043380916436532
sv,4517,5.76,0.400070388639006
tg,1953,4.11,0.3673011370692256
uk,7385,16.72,0.3817248964100427
uz,4563,6.99,0.3867976817545132
vi,2964,7.23,0.3884677993117322
cy,4258,6.89,0.3543390091519036
fy,6588,11.65,0.37455126024791807
sq,6714,16.11,0.3552475705719565
hy,3291,14.83,0.33201553508985515
az,6344,11.37,0.3741999382261206
eu,5593,15.84,0.39815624377112346
be,4427,11.35,0.37081921448806926
br,4180,9.63,0.38397729430656286
bg,6200,10.77,0.387434149110586
ca,8200,11.88,0.39705005089479256
ce,2263,5.26,0.36459955112766074
hr,6679,13.16,0.4030022580341675
cs,8597,19.11,0.38461453734618806
da,6867,11.25,0.40362598224664187
nl,6633,11.07,0.3944068089410949
et,6489,14.86,0.39952060588723226
gl,7847,8.72,0.4016450293952141
de,12357,23.68,0.39481323073569813
el,4406,21.15,0.3322620122387273
is,4232,7.25,0.372500251532151
io,2894,4.09,0.36444763321508206
id,7479,13.98,0.3935591886379163
ga,3468,7.09,0.3639289689241526
it,12500,24.05,0.3975185127805814
la,4597,7.19,0.3892940319294437
lv,5484,12.39,0.370086952521652
lt,5799,11.03,0.4002981757116657
lb,6629,13.8,0.3816303521676396
mk,5280,21.57,0.3579278228268633
